birthYear,proposal,attendance_rate,name,assembly_id
1950,44,87.43,이만우,811
1964,41,85.63,윤영석,780
1954,138,97.01,이노근,713
1952,12,86.23,이군현,352
1955,262,92.81,이명수,615
1960,164,96.41,강기윤,775
1952,15,88.02,이병석,169
1971,12,94.29,유의동,869
1959,11,85.03,유기준,412
1955,14,82.04,유일호,608
1956,38,93.41,유재중,609
1956,146,94.01,윤명희,804
1958,13,84.43,유승민,356
1962,35,91.02,윤상현,611
1952,139,84.43,황주홍,769
1957,62,93.41,정진후,849
1952,41,91.62,임내현,743
1952,71,93.41,장병완,690
1952,156,88.02,주승용,460
1963,49,93.41,최원식,739
1954,2,100.00,천정배,246
1962,14,90.30,안철수,857
1960,62,85.63,유성엽,607
1959,39,85.03,심상정,506
1953,9,77.84,김한길,298
1959,35,88.62,문병호,374
1970,42,91.02,박원석,851
1970,38,92.73,서기호,855
1952,40,96.41,신학용,396
1963,66,92.81,김제남,850
1949,32,75.45,박주선,102
1961,42,91.62,윤재옥,735
1953,47,92.81,이강후,751
1955,25,84.43,김영환,45
1966,59,94.01,김승남,768
1955,85,93.41,김동철,333
1963,20,76.05,최재천,471
1956,64,85.63,박기춘,379
1942,18,82.04,박지원,587
1948,65,88.02,유승우,801
1969,119,97.01,김관영,764
1948,19,95.21,정의화,230
1974,11,87.14,권은희,864
1965,35,94.01,최재성,470
1958,30,92.22,추미애,256
1960,116,95.81,최민희,842
1965,52,90.42,한정애,835
1957,48,98.20,홍영표,680
1955,18,85.63,홍의락,843
1967,44,91.62,홍익표,708
1959,49,91.02,홍종학,828
1971,55,95.21,정호준,707
1963,56,92.81,조정식,458
1967,72,94.01,진선미,829
1967,49,93.41,진성준,841
1950,65,94.01,최규성,467
1950,12,85.63,정세균,228
1962,136,83.23,최동익,826
1965,169,97.01,정청래,453
1960,60,91.62,전정희,765
1968,52,93.41,임수경,844
1977,69,62.87,장하나,837
1958,63,90.42,전병헌,447
1953,71,89.22,전순옥,825
1962,46,97.60,전해철,789
1962,66,98.20,정성호,451
1959,110,95.81,이찬열,683
1952,8,73.05,이해찬,200
1953,87,98.20,인재근,712
1963,69,94.61,이원욱,794
1960,32,99.40,이윤석,625
1963,50,91.02,이춘석,634
1952,36,92.22,이학영,796
1964,38,94.01,이인영,438
1957,72,92.81,이종걸,193
1963,27,88.62,은수미,827
1959,40,97.14,이개호,874
1953,47,87.43,이목희,427
1950,19,96.41,이미경,293
1958,78,86.23,이상민,430
1963,45,88.02,이상직,762
1951,41,94.01,이석현,432
1972,111,95.21,이언주,787
1948,9,94.01,유인태,415
1957,49,89.82,윤후덕,798
1950,43,98.80,유대운,711
1960,87,93.41,윤관석,738
1963,43,93.41,윤호중,418
1958,47,93.41,유기홍,413
1960,90,90.42,유승희,503
1962,40,96.41,유은혜,792
1957,33,94.61,우원식,478
1951,39,89.22,원혜영,411
1957,67,97.01,우윤근,408
1967,24,95.21,오영식,292
1949,157,95.81,오제세,406
1962,36,80.84,우상호,407
1959,162,95.81,양승조,402
1961,32,98.80,안규백,601
1966,65,75.45,안민석,399
,1,95.00,신문식,878
1964,17,87.14,신정훈,873
1946,51,97.60,심재권,132
1967,23,91.02,송호창,793
1953,60,90.42,신경민,715
1954,58,92.22,신계륜,126
1952,17,85.63,신기남,127
1968,42,89.82,배재정,831
1950,25,97.01,백군기,832
1951,83,95.21,백재현,591
1948,75,96.41,변재일,389
1956,178,92.81,부좌현,791
1964,105,92.22,서영교,709
1953,34,92.81,설훈,117
1963,20,93.41,박범계,745
1964,30,85.03,박수현,757
1958,111,98.80,박남춘,737
1964,124,95.81,박민수,767
1952,26,94.01,박병석,86
1966,60,94.61,박완주,756
1969,83,96.41,박홍근,710
1960,58,92.81,박영선,491
1956,44,91.62,박혜자,741
1957,41,97.14,박광온,868
1958,89,96.41,민병두,500
1961,44,90.42,민홍철,778
1953,4,76.05,문재인,729
1945,9,97.60,문희상,280
1955,35,94.01,도종환,839
1957,52,95.81,노영민,367
1957,71,93.41,노웅래,368
1965,45,98.20,김태년,359
1965,24,95.21,김현,840
1962,32,94.61,김현미,493
1952,41,85.63,김용익,830
1955,235,85.63,김우남,343
1966,63,90.42,김윤덕,761
1953,138,97.60,김춘진,355
1957,83,97.01,김기준,836
1954,106,97.01,김상희,552
1952,62,88.02,김성곤,338
1966,66,98.20,김민기,800
1955,42,93.41,김영주,495
1981,162,86.83,김광진,834
1964,47,89.82,김성주,763
1966,45,83.83,김기식,838
1964,70,92.22,강기정,317
1953,98,85.03,강동원,766
1952,174,95.81,강창일,320
1962,45,92.81,김경협,786
1947,4,72.46,황우여,270
1955,35,93.14,황인자,859
1965,45,91.02,황영철,676
1958,21,88.57,홍철호,870
1956,32,94.01,홍일표,672
1968,30,80.84,홍지만,734
1955,116,92.22,김영록,561
1955,16,90.42,홍문종,266
1958,128,90.42,남인순,833
1946,18,88.62,황진하,373
1959,59,79.04,한선교,475
1952,35,76.65,한기호,693
1959,116,95.81,함진규,795
1955,6,73.65,최경환,465
1968,28,81.44,하태경,727
1947,34,82.63,홍문표,477
1946,35,68.26,주영순,807
1950,15,89.22,진영,463
1963,26,93.41,조해진,662
1960,28,83.83,주호영,461
,0,100.00,정윤숙,882
1953,177,75.45,정희수,519
1965,11,74.29,정미경,648
1962,13,97.14,정용기,865
1942,50,94.01,최봉홍,816
1958,18,76.65,정병국,227
1946,35,90.42,정수성,682
1966,25,94.61,정문헌,449
1953,37,88.62,정우택,229
1968,69,92.22,조경태,454
1959,54,91.62,조명철,805
1959,38,79.04,조원진,657
1950,38,86.83,장윤석,446
1949,35,98.20,이현재,797
1957,53,95.81,이한성,637
1963,29,96.41,이헌승,724
1950,22,89.22,정갑윤,219
1957,5,27.54,정두언,448
,5,100.00,장정은,877
1958,21,91.02,전하진,785
1957,33,96.41,이진복,631
1945,60,66.47,이한구,196
1964,28,80.84,이학재,636
1955,48,94.01,이철우,633
1957,21,97.14,이종배,871
1977,42,90.42,이자스민,815
1961,30,94.48,이운룡,856
1965,17,87.43,이장우,744
1975,35,91.02,이재영,854
1959,44,89.82,이이재,752
1948,9,81.44,이인제,188
1945,11,88.62,이재오,190
1962,16,97.01,원유철,147
1961,37,88.62,이상일,809
1954,28,89.22,이에리사,810
1957,38,94.61,이완영,773
1957,19,94.01,이우현,799
1948,23,91.02,여상규,605
1943,35,86.49,양창영,861
1955,71,97.60,안효대,603
1961,34,94.01,염동열,753
1950,22,93.41,이종진,736
1960,21,94.61,이종훈,784
1951,21,76.05,이주영,194
1971,9,91.89,오신환,875
1958,8,80.00,이정현,628
1955,45,98.20,이채익,747
1946,1,100.00,안상수,876
1951,121,91.02,안홍준,401
1958,102,98.80,심재철,133
1950,4,64.18,이완구,179
1954,25,92.22,심윤조,719
1953,16,97.60,신동우,722
1963,35,92.22,신성범,598
1956,19,86.49,신상진,516
1968,25,95.81,서용교,725
1959,55,89.82,손인춘,821
1947,73,94.61,송영근,818
1946,38,86.23,서상기,342
1954,64,97.60,신경림,824
1959,26,79.64,박창식,820
1965,39,89.82,박민식,579
1957,76,91.02,박성호,774
1961,34,94.01,박대출,777
1951,15,100.00,박맹우,866
1947,70,91.96,박명재,858
1948,137,91.02,박인숙,721
1953,30,89.22,박덕흠,754
1976,30,70.06,문대성,728
1961,72,98.80,문정림,845
1959,41,96.41,민병주,802
1969,43,94.61,민현주,819
1951,32,94.01,박대동,748
1948,22,87.14,배덕광,863
1964,53,95.81,신의진,808
1957,43,95.21,류성걸,731
1950,17,94.61,노철래,576
1953,59,86.83,나성린,575
1950,99,91.02,류지영,817
1943,6,83.04,서청원,115
1958,29,85.63,김희국,730
1971,43,75.45,김희정,366
1963,4,87.14,나경원,363
1949,25,94.90,박윤옥,860
1955,22,94.01,김회선,717
1943,14,82.63,김태환,360
1954,82,100.00,김한표,779
1963,23,89.22,김태흠,758
1961,45,95.21,김학용,572
1951,49,93.41,김정록,803
1957,20,91.43,김제식,872
1949,25,92.81,김종태,772
1952,11,87.43,김종훈,720
1964,19,85.63,김진태,749
1951,180,100.00,김태원,571
1962,11,77.25,김태호,297
1956,38,87.43,김장실,814
1961,24,93.41,김재경,344
1964,49,88.62,김재원,345
1957,43,92.81,김정훈,348
1958,26,82.63,김동완,760
1963,45,93.41,김상훈,732
1954,42,87.43,김성찬,776
1964,26,91.62,김명연,790
1951,6,90.30,김무성,33
1973,47,94.01,김상민,822
1958,80,92.22,김성태,556
1972,45,94.61,김세연,558
1948,32,92.22,김광림,548
1952,62,88.62,김기선,750
1964,35,95.21,김도읍,726
1967,26,83.23,김영우,562
1970,23,97.14,김용남,867
1968,25,71.86,김용태,565
1945,35,94.01,김을동,567
1955,21,76.65,길정우,714
1959,34,93.41,권은희,733
1960,73,84.43,권성동,684
1964,24,85.03,강석훈,718
1946,3,86.23,강창희,10
1958,50,93.41,경대수,755
1955,40,92.22,강석호,537
1942,30,89.82,강길부,318
